SARS_CoV_2_nsp1 2GDT_A 86.087 115 | 13 127 2 116
SARS_CoV_2_nsp3 6W9C_A 100.000 315 | 747 1061 1 315
SARS_CoV_2_nsp3 5E6J_A 82.650 317 | 747 1063 2 318
SARS_CoV_2_nsp3 4M0W_A 82.390 318 | 747 1064 2 319
SARS_CoV_2_nsp3 5TL6_B 82.857 315 | 747 1061 5 319
SARS_CoV_2_nsp3 3MJ5_A 82.857 315 | 747 1061 2 316
SARS_CoV_2_nsp3 2FE8_A 82.803 314 | 747 1060 2 315
SARS_CoV_2_nsp3 5Y3E_A 82.803 314 | 747 1060 2 315
SARS_CoV_2_nsp3 3E9S_A 82.540 315 | 747 1061 4 318
SARS_CoV_2_nsp3 4OVZ_B 82.540 315 | 747 1061 2 316
SARS_CoV_2_nsp3 4OVZ_A 82.222 315 | 747 1061 2 316
SARS_CoV_2_nsp3 6VXS_A 100.000 169 | 207 375 5 173
SARS_CoV_2_nsp3 6W6Y_A 100.000 169 | 207 375 2 170
SARS_CoV_2_nsp3 2JZD_A 80.952 126 | 551 676 4 129
SARS_CoV_2_nsp3 2K87_A 81.739 115 | 1090 1204 2 116
SARS_CoV_2_nsp5 5R7Y_A 100.000 306 | 2 307 1 306
SARS_CoV_2_nsp5 4HI3_A 95.765 307 | 1 307 1 307
SARS_CoV_2_nsp5 3M3V_A 96.078 306 | 2 307 3 308
SARS_CoV_2_nsp5 2A5K_A 96.078 306 | 2 307 2 307
SARS_CoV_2_nsp5 3E91_A 96.078 306 | 2 307 1 306
SARS_CoV_2_nsp5 1UJ1_A 96.078 306 | 2 307 1 306
SARS_CoV_2_nsp5 1WOF_A 96.078 306 | 2 307 6 311
SARS_CoV_2_nsp5 3F9E_A 95.752 306 | 2 307 3 308
SARS_CoV_2_nsp5 5B6O_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 2PWX_A 95.752 306 | 2 307 3 308
SARS_CoV_2_nsp5 3M3S_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 3EA9_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 1Z1J_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 3F9F_A 95.752 306 | 2 307 3 308
SARS_CoV_2_nsp5 2QC2_A 95.752 306 | 2 307 3 308
SARS_CoV_2_nsp5 3M3T_A 95.752 306 | 2 307 3 308
SARS_CoV_2_nsp5 2QCY_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 3ATW_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 1Q2W_A 95.738 305 | 1 305 2 306
SARS_CoV_2_nsp5 2Q6G_A 95.752 306 | 2 307 1 306
SARS_CoV_2_nsp5 2VJ1_A 96.040 303 | 3 305 1 303
SARS_CoV_2_nsp5 2ALV_A 96.040 303 | 2 304 1 303
SARS_CoV_2_nsp5 4MDS_A 95.710 303 | 2 304 1 303
SARS_CoV_2_nsp5 3SNA_A 96.013 301 | 2 302 1 301
SARS_CoV_2_nsp5 2OP9_A 96.013 301 | 2 302 2 302
SARS_CoV_2_nsp5 2QIQ_A 95.681 301 | 2 302 1 301
SARS_CoV_2_nsp5 3FZD_A 95.681 301 | 2 302 1 301
SARS_CoV_2_nsp5 3F9G_A 95.681 301 | 2 302 3 303
SARS_CoV_2_nsp5 3D62_A 95.987 299 | 4 302 1 299
SARS_CoV_2_nsp5 2K7X_A 96.667 120 | 188 307 1 120
SARS_CoV_2_nsp5 3EBN_A 96.610 118 | 190 307 1 118
